"id"	"geneNum"	"description"	"gene"
"sce00970"	40	"Aminoacyl-tRNA biosynthesis"	"YBL013W,YBL076C,YBL080C,YBR121C,YCR024C,YDR023W,YDR037W,YDR268W,YDR341C,YER087W,YFL022C,YGL245W,YGR094W,YGR102C,YGR171C,YGR185C,YGR264C,YHR011W,YHR019C,YHR020W,YHR091C,YIL078W,YKL194C,YLL018C,YLR060W,YLR382C,YMR293C,YNL073W,YNL247W,YOL033W,YOL097C,YOR168W,YOR335C,YPL040C,YPL097W,YPL104W,YPL160W,YPR033C,YPR047W,YPR081C"
"sce00999"	3	"Biosynthesis of various plant secondary metabolites"	"YDR127W,YDR502C,YLR180W"
"sce01040"	10	"Biosynthesis of unsaturated fatty acids"	"YBR159W,YCR034W,YDL015C,YGL055W,YGL205W,YIL160C,YJL097W,YJL196C,YJR019C,YLR372W"
"sce01100"	797	"Metabolic pathways"	"Q0045,Q0080,Q0085,Q0105,Q0110,Q0115,Q0120,Q0130,Q0250,Q0275,YAL012W,YAL023C,YAL038W,YAL039C,YAL044C,YAL054C,YAL062W,YAR015W,YAR071W,YBL011W,YBL013W,YBL015W,YBL033C,YBL039C,YBL045C,YBL064C,YBL068W,YBL080C,YBL082C,YBL098W,YBL099W,YBR001C,YBR004C,YBR006W,YBR015C,YBR018C,YBR019C,YBR020W,YBR023C,YBR026C,YBR029C,YBR035C,YBR038W,YBR039W,YBR052C,YBR070C,YBR084W,YBR092C,YBR093C,YBR110W,YBR111C,YBR115C,YBR117C,YBR126C,YBR127C,YBR145W,YBR149W,YBR153W,YBR159W,YBR166C,YBR176W,YBR183W,YBR196C,YBR208C,YBR213W,YBR218C,YBR221C,YBR222C,YBR229C,YBR242W,YBR243C,YBR248C,YBR249C,YBR252W,YBR256C,YBR263W,YBR265W,YBR299W,YCL004W,YCL005W-A,YCL009C,YCL017C,YCL018W,YCL030C,YCL040W,YCL047C,YCL050C,YCL052C,YCL064C,YCR004C,YCR005C,YCR012W,YCR034W,YCR036W,YCR053W,YCR068W,YCR073W-A,YCR105W,YDL004W,YDL015C,YDL021W,YDL024C,YDL042C,YDL045C,YDL052C,YDL055C,YDL066W,YDL067C,YDL078C,YDL080C,YDL085W,YDL086W,YDL093W,YDL095W,YDL103C,YDL131W,YDL141W,YDL142C,YDL166C,YDL168W,YDL171C,YDL174C,YDL178W,YDL182W,YDL185W,YDL205C,YDL215C,YDL232W,YDL238C,YDL244W,YDL246C,YDR001C,YDR007W,YDR009W,YDR019C,YDR020C,YDR032C,YDR035W,YDR036C,YDR044W,YDR047W,YDR050C,YDR058C,YDR062W,YDR074W,YDR109C,YDR111C,YDR127W,YDR147W,YDR148C,YDR158W,YDR173C,YDR178W,YDR182W,YDR191W,YDR196C,YDR208W,YDR226W,YDR232W,YDR234W,YDR236C,YDR242W,YDR245W,YDR248C,YDR256C,YDR261C,YDR272W,YDR287W,YDR294C,YDR297W,YDR298C,YDR300C,YDR302W,YDR305C,YDR307W,YDR315C,YDR321W,YDR322C-A,YDR331W,YDR354W,YDR371W,YDR377W,YDR380W,YDR399W,YDR400W,YDR408C,YDR428C,YDR434W,YDR437W,YDR440W,YDR441C,YDR454C,YDR481C,YDR487C,YDR502C,YDR516C,YDR529C,YDR530C,YDR531W,YDR533C,YDR538W,YEL002C,YEL011W,YEL021W,YEL024W,YEL027W,YEL029C,YEL036C,YEL038W,YEL039C,YEL046C,YEL051W,YEL058W,YEL066W,YEL070W,YEL071W,YER001W,YER003C,YER005W,YER014W,YER015W,YER019W,YER023W,YER026C,YER037W,YER043C,YER052C,YER055C,YER061C,YER062C,YER065C,YER069W,YER070W,YER073W,YER081W,YER086W,YER090W,YER091C,YER099C,YER141W,YER163C,YER178W,YER183C,YFL017C,YFL018C,YFL025C,YFL030W,YFL045C,YFL053W,YFL058W,YFL059W,YFL060C,YFR015C,YFR019W,YFR025C,YFR030W,YFR033C,YFR044C,YFR047C,YFR053C,YFR055W,YGL001C,YGL008C,YGL009C,YGL012W,YGL022W,YGL026C,YGL027C,YGL037C,YGL038C,YGL040C,YGL047W,YGL055W,YGL062W,YGL065C,YGL067W,YGL101W,YGL125W,YGL142C,YGL148W,YGL154C,YGL184C,YGL187C,YGL191W,YGL196W,YGL202W,YGL205W,YGL224C,YGL226C-A,YGL234W,YGL245W,YGL248W,YGL253W,YGL256W,YGR007W,YGR010W,YGR012W,YGR017W,YGR019W,YGR020C,YGR032W,YGR036C,YGR043C,YGR060W,YGR061C,YGR087C,YGR088W,YGR102C,YGR124W,YGR144W,YGR155W,YGR157W,YGR170W,YGR171C,YGR175C,YGR180C,YGR183C,YGR192C,YGR194C,YGR199W,YGR202C,YGR204W,YGR205W,YGR208W,YGR216C,YGR227W,YGR240C,YGR244C,YGR248W,YGR254W,YGR255C,YGR256W,YGR264C,YGR267C,YGR277C,YGR282C,YGR286C,YGR287C,YGR292W,YHL003C,YHL011C,YHL012W,YHL018W,YHL032C,YHR001W-A,YHR007C,YHR018C,YHR025W,YHR026W,YHR033W,YHR037W,YHR039C-A,YHR046C,YHR051W,YHR063C,YHR067W,YHR072W,YHR074W,YHR100C,YHR104W,YHR109W,YHR119W,YHR123W,YHR128W,YHR137W,YHR144C,YHR163W,YHR174W,YHR183W,YHR188C,YHR190W,YHR201C,YHR208W,YHR215W,YHR216W,YIL002C,YIL009W,YIL020C,YIL049W,YIL053W,YIL066C,YIL074C,YIL083C,YIL094C,YIL099W,YIL107C,YIL111W,YIL116W,YIL124W,YIL125W,YIL145C,YIL160C,YIL162W,YIL164C,YIL172C,YIR027C,YIR029W,YIR031C,YIR032C,YIR034C,YIR038C,YJL002C,YJL005W,YJL026W,YJL045W,YJL046W,YJL052W,YJL060W,YJL062W,YJL068C,YJL071W,YJL088W,YJL091C,YJL097W,YJL100W,YJL101C,YJL121C,YJL130C,YJL132W,YJL134W,YJL137C,YJL153C,YJL155C,YJL166W,YJL167W,YJL168C,YJL183W,YJL186W,YJL196C,YJL200C,YJL216C,YJL221C,YJR009C,YJR010W,YJR013W,YJR016C,YJR019C,YJR024C,YJR025C,YJR048W,YJR049C,YJR057W,YJR069C,YJR073C,YJR075W,YJR078W,YJR103W,YJR105W,YJR109C,YJR110W,YJR121W,YJR130C,YJR131W,YJR137C,YJR139C,YJR143C,YJR148W,YJR149W,YJR153W,YJR156C,YJR159W,YKL001C,YKL008C,YKL016C,YKL024C,YKL035W,YKL055C,YKL060C,YKL067W,YKL069W,YKL080W,YKL085W,YKL087C,YKL088W,YKL094W,YKL104C,YKL106W,YKL127W,YKL132C,YKL141W,YKL148C,YKL152C,YKL165C,YKL181W,YKL182W,YKL184W,YKL192C,YKL211C,YKL212W,YKL215C,YKL216W,YKR009C,YKR031C,YKR053C,YKR058W,YKR067W,YKR069W,YKR080W,YKR089C,YKR097W,YLL009C,YLL031C,YLL041C,YLL058W,YLL062C,YLR017W,YLR027C,YLR028C,YLR038C,YLR044C,YLR056W,YLR057W,YLR058C,YLR070C,YLR088W,YLR089C,YLR100W,YLR133W,YLR134W,YLR142W,YLR146C,YLR153C,YLR155C,YLR157C,YLR158C,YLR160C,YLR164W,YLR174W,YLR180W,YLR209C,YLR231C,YLR239C,YLR240W,YLR245C,YLR258W,YLR260W,YLR286C,YLR295C,YLR299W,YLR300W,YLR303W,YLR304C,YLR305C,YLR307W,YLR308W,YLR328W,YLR342W,YLR351C,YLR354C,YLR355C,YLR359W,YLR372W,YLR377C,YLR395C,YLR420W,YLR432W,YLR438W,YLR446W,YLR447C,YLR450W,YLR459W,YML004C,YML008C,YML019W,YML022W,YML035C,YML054C,YML056C,YML070W,YML075C,YML081C-A,YML082W,YML086C,YML100W,YML106W,YML110C,YML115C,YML120C,YML126C,YMR009W,YMR013C,YMR015C,YMR020W,YMR041C,YMR054W,YMR062C,YMR083W,YMR084W,YMR095C,YMR096W,YMR099C,YMR105C,YMR108W,YMR110C,YMR113W,YMR118C,YMR120C,YMR145C,YMR149W,YMR165C,YMR169C,YMR170C,YMR189W,YMR202W,YMR205C,YMR207C,YMR208W,YMR217W,YMR220W,YMR226C,YMR246W,YMR250W,YMR256C,YMR261C,YMR271C,YMR278W,YMR281W,YMR293C,YMR296C,YMR300C,YMR303C,YMR306W,YMR313C,YMR318C,YMR322C,YMR323W,YNL009W,YNL036W,YNL037C,YNL038W,YNL045W,YNL048W,YNL052W,YNL071W,YNL092W,YNL104C,YNL106C,YNL117W,YNL128W,YNL129W,YNL130C,YNL141W,YNL168C,YNL169C,YNL192W,YNL219C,YNL220W,YNL229C,YNL241C,YNL256W,YNL267W,YNL274C,YNL277W,YNL280C,YNL316C,YNL325C,YNL332W,YNL333W,YNL334C,YNR001C,YNR008W,YNR012W,YNR016C,YNR027W,YNR030W,YNR034W,YNR041C,YNR043W,YNR050C,YNR057C,YNR058W,YNR059W,YNR073C,YOL033W,YOL049W,YOL052C,YOL055C,YOL056W,YOL058W,YOL061W,YOL064C,YOL066C,YOL068C,YOL077W-A,YOL086C,YOL096C,YOL126C,YOL136C,YOL140W,YOL143C,YOL151W,YOL157C,YOR002W,YOR020W-A,YOR025W,YOR040W,YOR065W,YOR067C,YOR074C,YOR081C,YOR085W,YOR095C,YOR103C,YOR108W,YOR109W,YOR111W,YOR120W,YOR125C,YOR128C,YOR136W,YOR142W,YOR143C,YOR155C,YOR168W,YOR171C,YOR175C,YOR176W,YOR184W,YOR190W,YOR196C,YOR202W,YOR209C,YOR221C,YOR236W,YOR241W,YOR245C,YOR251C,YOR269W,YOR270C,YOR274W,YOR278W,YOR303W,YOR311C,YOR317W,YOR321W,YOR323C,YOR332W,YOR347C,YOR360C,YOR374W,YOR375C,YOR388C,YOR391C,YOR393W,YPL015C,YPL023C,YPL028W,YPL036W,YPL050C,YPL053C,YPL061W,YPL069C,YPL076W,YPL078C,YPL087W,YPL091W,YPL096C-A,YPL111W,YPL117C,YPL132W,YPL148C,YPL172C,YPL175W,YPL214C,YPL227C,YPL231W,YPL234C,YPL258C,YPL262W,YPL268W,YPL271W,YPL273W,YPL280W,YPL281C,YPR001W,YPR002W,YPR006C,YPR020W,YPR026W,YPR035W,YPR036W,YPR060C,YPR062W,YPR069C,YPR073C,YPR074C,YPR113W,YPR118W,YPR127W,YPR139C,YPR145W,YPR160W,YPR167C,YPR183W,YPR184W,YPR191W,YPR193C"
"sce01110"	351	"Biosynthesis of secondary metabolites"	"YAL012W,YAL038W,YAL044C,YAL054C,YAL060W,YAL061W,YAR015W,YBL011W,YBL033C,YBL068W,YBR001C,YBR002C,YBR003W,YBR019C,YBR029C,YBR052C,YBR115C,YBR117C,YBR126C,YBR145W,YBR159W,YBR166C,YBR176W,YBR196C,YBR213W,YBR221C,YBR248C,YBR249C,YBR256C,YBR263W,YCL009C,YCL018W,YCL030C,YCL040W,YCL064C,YCR004C,YCR005C,YCR012W,YCR034W,YCR053W,YCR073W-A,YCR105W,YDL015C,YDL021W,YDL022W,YDL045C,YDL052C,YDL055C,YDL066W,YDL078C,YDL080C,YDL090C,YDL131W,YDL166C,YDL168W,YDL171C,YDL182W,YDL193W,YDL205C,YDR001C,YDR007W,YDR019C,YDR032C,YDR035W,YDR044W,YDR047W,YDR050C,YDR074W,YDR127W,YDR148C,YDR158W,YDR178W,YDR226W,YDR232W,YDR234W,YDR236C,YDR248C,YDR256C,YDR284C,YDR287W,YDR300C,YDR321W,YDR354W,YDR399W,YDR408C,YDR410C,YDR487C,YDR502C,YDR503C,YDR516C,YDR538W,YDR539W,YEL011W,YEL046C,YER003C,YER005W,YER014W,YER023W,YER026C,YER052C,YER055C,YER065C,YER069W,YER073W,YER081W,YER086W,YER090W,YER091C,YER099C,YER141W,YER170W,YER178W,YFL018C,YFL030W,YFL045C,YFR015C,YFR025C,YFR053C,YFR055W,YGL001C,YGL009C,YGL012W,YGL026C,YGL040C,YGL148W,YGL184C,YGL202W,YGL205W,YGL234W,YGL245W,YGL253W,YGL256W,YGR012W,YGR043C,YGR060W,YGR061C,YGR087C,YGR088W,YGR124W,YGR155W,YGR157W,YGR170W,YGR175C,YGR192C,YGR205W,YGR208W,YGR240C,YGR244C,YGR248W,YGR254W,YGR255C,YGR256W,YHL011C,YHL012W,YHR007C,YHR018C,YHR025W,YHR033W,YHR046C,YHR063C,YHR072W,YHR123W,YHR137W,YHR163W,YHR174W,YHR183W,YHR190W,YHR208W,YHR216W,YIL020C,YIL074C,YIL094C,YIL116W,YIL125W,YIL145C,YIL155C,YIL160C,YIL162W,YIR031C,YIR034C,YJL045W,YJL052W,YJL071W,YJL088W,YJL097W,YJL121C,YJL137C,YJL153C,YJL167W,YJL196C,YJL200C,YJR009C,YJR010W,YJR016C,YJR019C,YJR073C,YJR117W,YJR130C,YJR139C,YJR148W,YKL019W,YKL035W,YKL055C,YKL060C,YKL067W,YKL085W,YKL106W,YKL127W,YKL141W,YKL148C,YKL152C,YKL181W,YKL184W,YKL211C,YKR031C,YKR058W,YKR067W,YKR069W,YKR089C,YKR097W,YLL041C,YLL058W,YLL062C,YLR027C,YLR028C,YLR044C,YLR056W,YLR058C,YLR100W,YLR134W,YLR142W,YLR153C,YLR155C,YLR157C,YLR158C,YLR160C,YLR164W,YLR174W,YLR180W,YLR209C,YLR258W,YLR303W,YLR304C,YLR354C,YLR355C,YLR359W,YLR372W,YLR377C,YLR432W,YLR438W,YLR446W,YLR450W,YML008C,YML035C,YML056C,YML075C,YML082W,YML100W,YML110C,YML126C,YMR015C,YMR062C,YMR083W,YMR099C,YMR101C,YMR105C,YMR108W,YMR110C,YMR118C,YMR120C,YMR165C,YMR169C,YMR170C,YMR189W,YMR202W,YMR205C,YMR207C,YMR208W,YMR220W,YMR250W,YMR261C,YMR274C,YMR278W,YMR300C,YMR303C,YMR318C,YMR323W,YNL009W,YNL037C,YNL071W,YNL104C,YNL117W,YNL169C,YNL241C,YNL274C,YNL277W,YNL280C,YNL316C,YNR001C,YNR016C,YNR034W,YNR041C,YNR043W,YNR050C,YOL033W,YOL056W,YOL058W,YOL059W,YOL061W,YOL086C,YOL096C,YOL126C,YOL140W,YOL143C,YOR081C,YOR095C,YOR108W,YOR125C,YOR128C,YOR136W,YOR142W,YOR175C,YOR176W,YOR184W,YOR202W,YOR221C,YOR274W,YOR278W,YOR311C,YOR323C,YOR347C,YOR374W,YOR393W,YPL028W,YPL061W,YPL069C,YPL111W,YPL117C,YPL172C,YPL262W,YPL273W,YPL281C,YPR001W,YPR006C,YPR026W,YPR060C,YPR074C,YPR139C,YPR145W,YPR160W,YPR184W"
"sce01200"	112	"Carbon metabolism"	"YAL038W,YAL044C,YAL054C,YBL068W,YBR117C,YBR196C,YBR218C,YBR221C,YBR263W,YCL040W,YCL064C,YCR005C,YCR012W,YCR073W-A,YDL021W,YDL066W,YDL078C,YDL168W,YDR019C,YDR036C,YDR050C,YDR111C,YDR148C,YDR178W,YDR248C,YDR256C,YDR516C,YER065C,YER081W,YER086W,YER099C,YER178W,YFL018C,YFL030W,YFL053W,YFR053C,YGL062W,YGL205W,YGL253W,YGR012W,YGR043C,YGR088W,YGR192C,YGR205W,YGR208W,YGR240C,YGR244C,YGR248W,YGR254W,YGR256W,YHL011C,YHR163W,YHR174W,YHR183W,YIL074C,YIL125W,YIR031C,YJL045W,YJL052W,YJL068C,YJL121C,YJR009C,YKL029C,YKL060C,YKL085W,YKL106W,YKL141W,YKL148C,YKL152C,YKL181W,YKR009C,YKR097W,YLL041C,YLR027C,YLR058C,YLR089C,YLR153C,YLR164W,YLR174W,YLR303W,YLR304C,YLR354C,YLR377C,YLR446W,YML070W,YMR118C,YMR189W,YMR205C,YMR323W,YNL009W,YNL037C,YNL071W,YNL117W,YNL241C,YNR001C,YNR034W,YOL056W,YOL061W,YOL126C,YOR095C,YOR136W,YOR142W,YOR184W,YOR347C,YOR388C,YOR393W,YPL028W,YPL262W,YPL281C,YPR001W,YPR006C,YPR074C"
"sce01210"	35	"2-Oxocarboxylic acid metabolism"	"YCL009C,YCL018W,YCR005C,YDL066W,YDL131W,YDL182W,YDR111C,YDR158W,YDR234W,YER052C,YER069W,YGL009C,YGL202W,YHR208W,YIL094C,YJL071W,YJL200C,YJR016C,YJR148W,YKL106W,YLR027C,YLR089C,YLR174W,YLR304C,YLR355C,YMR062C,YMR108W,YNL009W,YNL037C,YNL104C,YNR001C,YOL140W,YOR108W,YOR136W,YPR001W"
"sce01212"	23	"Fatty acid metabolism"	"YBR026C,YBR159W,YCR034W,YDL015C,YER015W,YER061C,YGL055W,YGL205W,YHR067W,YIL009W,YIL160C,YJL097W,YJL196C,YKL055C,YKL182W,YLR372W,YMR207C,YMR246W,YNR016C,YOR221C,YOR317W,YPL028W,YPL231W"
"sce01230"	125	"Biosynthesis of amino acids"	"YAL012W,YAL038W,YBL068W,YBR115C,YBR117C,YBR166C,YBR218C,YBR248C,YBR249C,YBR263W,YCL009C,YCL018W,YCL030C,YCL064C,YCR005C,YCR012W,YCR053W,YDL021W,YDL066W,YDL131W,YDL171C,YDL182W,YDR007W,YDR035W,YDR050C,YDR111C,YDR127W,YDR158W,YDR234W,YDR300C,YDR354W,YDR502C,YEL046C,YER023W,YER052C,YER055C,YER069W,YER081W,YER086W,YER090W,YER091C,YER099C,YFR025C,YFR055W,YGL009C,YGL026C,YGL062W,YGL148W,YGL184C,YGL202W,YGR012W,YGR043C,YGR124W,YGR155W,YGR192C,YGR208W,YGR240C,YGR254W,YHL011C,YHR018C,YHR025W,YHR033W,YHR174W,YHR208W,YIL020C,YIL074C,YIL094C,YIL116W,YIR034C,YJL052W,YJL071W,YJL088W,YJL121C,YJL200C,YJR009C,YJR016C,YJR130C,YJR139C,YJR148W,YKL060C,YKL106W,YKL152C,YKL181W,YKL211C,YLL058W,YLR027C,YLR058C,YLR089C,YLR174W,YLR180W,YLR303W,YLR304C,YLR354C,YLR355C,YML082W,YMR062C,YMR108W,YMR205C,YMR323W,YNL009W,YNL037C,YNL104C,YNL277W,YNL316C,YNR001C,YNR050C,YOL056W,YOL058W,YOL061W,YOL140W,YOR095C,YOR108W,YOR136W,YOR184W,YOR202W,YOR323C,YOR347C,YOR393W,YPL111W,YPL281C,YPR001W,YPR035W,YPR060C,YPR074C,YPR145W"
"sce01232"	42	"Nucleotide metabolism"	"YBL039C,YBR242W,YBR252W,YDL166C,YDL238C,YDR020C,YDR226W,YDR399W,YDR400W,YDR441C,YDR454C,YER005W,YER070W,YER170W,YGL101W,YGR180C,YHR128W,YHR144C,YHR216W,YIL066C,YJL026W,YJR057W,YJR069C,YJR103W,YJR105W,YKL024C,YKL067W,YLR209C,YLR245C,YLR359W,YLR432W,YML022W,YML035C,YML056C,YMR217W,YNL141W,YNL220W,YNR012W,YOR074C,YOR111W,YOR155C,YPR062W"
"sce01240"	131	"Biosynthesis of cofactors"	"YBL033C,YBL039C,YBL098W,YBR035C,YBR052C,YBR084W,YBR153W,YBR176W,YBR213W,YBR256C,YBR263W,YCL017C,YCR004C,YCR105W,YDL045C,YDL055C,YDL166C,YDL205C,YDL244W,YDR032C,YDR044W,YDR047W,YDR196C,YDR226W,YDR232W,YDR236C,YDR428C,YDR481C,YDR487C,YDR502C,YDR531W,YDR538W,YEL021W,YEL029C,YER003C,YER014W,YER061C,YER073W,YER141W,YER170W,YFL018C,YFL045C,YFL058W,YFL059W,YFL060C,YFR047C,YGL037C,YGL040C,YGL245W,YGR010W,YGR017W,YGR144W,YGR204W,YGR255C,YGR267C,YGR277C,YGR286C,YHL012W,YHR063C,YHR074W,YHR208W,YIL083C,YIL145C,YJL046W,YJL101C,YJL130C,YJR025C,YJR049C,YJR078W,YJR103W,YJR109C,YJR148W,YJR156C,YKL024C,YKL035W,YKL055C,YKL067W,YKL088W,YKL132C,YKL216W,YKR069W,YLR058C,YLR180W,YLR231C,YLR239C,YLR328W,YLR359W,YLR420W,YML106W,YML110C,YMR020W,YMR095C,YMR096W,YMR110C,YMR113W,YMR169C,YMR170C,YMR271C,YMR289W,YMR318C,YNL220W,YNL256W,YNL332W,YNL333W,YNL334C,YNR027W,YNR033W,YNR041C,YNR057C,YNR058W,YOL033W,YOL049W,YOL055C,YOL066C,YOL096C,YOL143C,YOR125C,YOR143C,YOR176W,YOR184W,YOR196C,YOR209C,YOR236W,YOR241W,YOR278W,YOR303W,YOR374W,YPL061W,YPL172C,YPL214C,YPL258C"
"sce01250"	23	"Biosynthesis of nucleotide sugars"	"YBR018C,YBR019C,YBR020W,YBR196C,YCL040W,YDL055C,YDL103C,YDR009W,YDR516C,YEL058W,YER003C,YFL017C,YFL045C,YFR053C,YGL253W,YHL012W,YKL035W,YKL104C,YKL127W,YLR446W,YMR084W,YMR105C,YMR278W"
"sce02010"	18	"ABC transporters"	"YCR011C,YDR011W,YDR135C,YDR406W,YGR281W,YIL013C,YKL188C,YKL209C,YLL015W,YLR188W,YMR301C,YNR070W,YOR011W,YOR153W,YOR328W,YPL058C,YPL147W,YPL270W"
