"id"	"geneNum"	"description"	"gene"
"sce03008"	74	"Ribosome biogenesis in eukaryotes"	"YAL033W,YBL018C,YBR167C,YBR257W,YCL031C,YCR057C,YDL014W,YDL166C,YDL208W,YDR324C,YDR339C,YDR398W,YDR449C,YDR478W,YEL026W,YER006W,YGL019W,YGL099W,YGL173C,YGR030C,YGR090W,YGR128C,YGR218W,YGR276C,YHR062C,YHR072W-A,YHR089C,YHR148W,YHR170W,YHR196W,YIL035C,YJL069C,YJL109C,YJR002W,YKL186C,YLL034C,YLR022C,YLR059C,YLR106C,YLR107W,YLR129W,YLR145W,YLR175W,YLR186W,YLR197W,YLR222C,YLR293C,YLR397C,YLR409C,YML093W,YMR093W,YMR239C,YNL075W,YNL132W,YNL163C,YNL207W,YNL221C,YNL282W,YNR053C,YOL010W,YOR039W,YOR048C,YOR056C,YOR061W,YOR119C,YOR185C,YOR310C,YPL043W,YPL093W,YPL126W,YPL169C,YPL204W,YPL217C,YPR016C"
"sce03010"	174	"Ribosome"	"YBL027W,YBL072C,YBL087C,YBL092W,YBR031W,YBR048W,YBR084C-A,YBR146W,YBR181C,YBR189W,YBR191W,YBR251W,YCR003W,YCR031C,YCR046C,YDL061C,YDL075W,YDL081C,YDL082W,YDL083C,YDL130W,YDL133C-A,YDL136W,YDL184C,YDL191W,YDL202W,YDR012W,YDR025W,YDR041W,YDR064W,YDR115W,YDR116C,YDR237W,YDR337W,YDR382W,YDR405W,YDR418W,YDR447C,YDR450W,YDR471W,YDR500C,YEL054C,YER050C,YER056C-A,YER074W,YER102W,YER117W,YER131W,YFL034C-A,YFR031C-A,YFR032C-A,YGL030W,YGL031C,YGL068W,YGL076C,YGL103W,YGL123W,YGL135W,YGL147C,YGL189C,YGR027C,YGR034W,YGR085C,YGR118W,YGR148C,YGR214W,YGR220C,YHL001W,YHL004W,YHL015W,YHL033C,YHR010W,YHR021C,YHR141C,YHR147C,YHR203C,YIL018W,YIL052C,YIL069C,YIL133C,YIL148W,YJL063C,YJL096W,YJL136C,YJL177W,YJL189W,YJL190C,YJL191W,YJR094W-A,YJR113C,YJR123W,YJR145C,YKL003C,YKL006W,YKL156W,YKL180W,YKR057W,YKR094C,YLL045C,YLR009W,YLR029C,YLR048W,YLR061W,YLR075W,YLR167W,YLR185W,YLR264W,YLR287C-A,YLR325C,YLR333C,YLR340W,YLR344W,YLR367W,YLR388W,YLR406C,YLR441C,YLR448W,YML009C,YML024W,YML025C,YML026C,YML063W,YML073C,YMR121C,YMR142C,YMR143W,YMR188C,YMR193W,YMR194W,YMR230W,YMR242C,YMR286W,YNL002C,YNL067W,YNL069C,YNL081C,YNL096C,YNL162W,YNL178W,YNL185C,YNL284C,YNL301C,YNL302C,YNL306W,YNR036C,YOL039W,YOL040C,YOL120C,YOL121C,YOL127W,YOR063W,YOR096W,YOR150W,YOR167C,YOR182C,YOR234C,YOR293W,YOR312C,YOR369C,YPL013C,YPL079W,YPL081W,YPL090C,YPL131W,YPL143W,YPL173W,YPL183W-A,YPL198W,YPL220W,YPL249C-A,YPR043W,YPR102C,YPR132W,YPR166C"
"sce03013"	65	"Nucleocytoplasmic transport"	"YAR002W,YBL079W,YBR017C,YBR118W,YDL064W,YDL084W,YDL088C,YDL116W,YDL207W,YDR021W,YDR335W,YDR381W,YDR395W,YER105C,YER107C,YER110C,YFR002W,YGL092W,YGL100W,YGL172W,YGL238W,YGL241W,YGR072W,YGR119C,YGR218W,YHR077C,YHR170W,YIL149C,YJL039C,YJL041W,YJR042W,YJR132W,YKL057C,YKL068W,YKL186C,YKL205W,YKR082W,YKR095W,YLL023C,YLR018C,YLR064W,YLR208W,YLR293C,YLR335W,YLR347C,YML031W,YML103C,YMR047C,YMR080C,YMR125W,YMR129W,YMR153W,YMR235C,YMR308C,YNL139C,YNL189W,YNL253W,YOR046C,YOR098C,YOR160W,YOR185C,YPL125W,YPL169C,YPL178W,YPR080W"
"sce03015"	48	"mRNA surveillance pathway"	"YAL016W,YAL043C,YBR143C,YBR236C,YDL084W,YDL134C,YDL188C,YDL207W,YDR021W,YDR172W,YDR195W,YDR228C,YDR301W,YDR381W,YDR436W,YER133W,YER165W,YGL044C,YGL190C,YGR072W,YGR156W,YHR077C,YIR001C,YJR093C,YKL018W,YKL059C,YKL186C,YKR002W,YKR084C,YLR115W,YLR277C,YML016C,YMR061W,YMR080C,YMR125W,YNL001W,YNL222W,YNL317W,YOL123W,YOR014W,YOR046C,YOR076C,YOR179C,YOR250C,YPL169C,YPL178W,YPL179W,YPR107C"
"sce03018"	64	"RNA degradation"	"YAL021C,YBL026W,YBR044C,YCR035C,YCR077C,YCR093W,YDL111C,YDL160C,YDL165W,YDL175C,YDR280W,YDR378C,YEL015W,YEL030W,YER068W,YER112W,YER146W,YER165W,YFL028C,YGL094C,YGL173C,YGL213C,YGR095C,YGR158C,YGR195W,YGR240C,YGR254W,YHR069C,YHR081W,YHR174W,YIL038C,YIL079C,YJL050W,YJL124C,YJR022W,YJR045C,YKL025C,YLR187W,YLR259C,YLR270W,YLR369W,YLR398C,YLR438C-A,YMR205C,YMR323W,YNL118C,YNL147W,YNL232W,YNL278W,YNL288W,YNL299W,YNR024W,YNR052C,YOL021C,YOL115W,YOL142W,YOL149W,YOR001W,YOR048C,YOR076C,YOR393W,YPL281C,YPR072W,YPR189W"
"sce03020"	31	"RNA polymerase"	"YBR154C,YDL140C,YDL150W,YDR045C,YDR156W,YDR404C,YGL070C,YHR143W-A,YIL021W,YJL011C,YJL140W,YJL148W,YJR063W,YKL144C,YKR025W,YNL113W,YNL151C,YNL248C,YNR003C,YOL005C,YOR116C,YOR151C,YOR207C,YOR210W,YOR224C,YOR340C,YOR341W,YPR010C,YPR110C,YPR187W,YPR190C"
"sce03022"	32	"Basal transcription factors"	"YBR198C,YCR042C,YDL108W,YDR079C-A,YDR145W,YDR167W,YDR311W,YDR432W,YDR460W,YER148W,YER171W,YGL112C,YGR005C,YGR186W,YGR274C,YIL143C,YKL028W,YKL058W,YKR062W,YLR005W,YML015C,YML098W,YML114C,YMR227C,YMR236W,YOR194C,YPL011C,YPL122C,YPL129W,YPR025C,YPR056W,YPR086W"
"sce03030"	31	"DNA replication"	"YAR007C,YBL023C,YBL035C,YBR087W,YBR088C,YBR202W,YBR278W,YDL102W,YDL164C,YDR121W,YEL032W,YGL201C,YHR164C,YIR008C,YJL065C,YJR006W,YJR043C,YJR068W,YKL045W,YKL113C,YLR274W,YMR234W,YNL072W,YNL102W,YNL262W,YNL290W,YNL312W,YOL094C,YOR217W,YPR019W,YPR175W"
"sce03040"	75	"Spliceosome"	"YAL005C,YAL032C,YBL026W,YBL075C,YBR055C,YBR065C,YBR237W,YCR063W,YDL030W,YDL043C,YDL084W,YDL098C,YDL229W,YDR021W,YDR088C,YDR163W,YDR243C,YDR364C,YDR378C,YDR381W,YDR416W,YDR473C,YEL026W,YER013W,YER029C,YER103W,YER112W,YER146W,YER172C,YFL017W-A,YFR005C,YGL120C,YGR006W,YGR074W,YGR075C,YGR091W,YGR129W,YHR165C,YIL061C,YJL203W,YJR022W,YJR050W,YKL012W,YKL074C,YKL173W,YKR086W,YLL024C,YLL036C,YLR117C,YLR147C,YLR275W,YLR298C,YLR438C-A,YML049C,YMR125W,YMR213W,YMR240C,YMR288W,YNL112W,YNL138W-A,YNL139C,YNL147W,YNL209W,YNL253W,YNR011C,YOR159C,YOR308C,YOR319W,YPL151C,YPL178W,YPL213W,YPR082C,YPR094W,YPR178W,YPR182W"
"sce03050"	36	"Proteasome"	"YBL041W,YBR173C,YDL007W,YDL097C,YDL147W,YDR363W-A,YDR394W,YDR427W,YER012W,YER021W,YER094C,YFL007W,YFR004W,YFR050C,YFR052W,YGL011C,YGL048C,YGR135W,YGR253C,YHR027C,YHR200W,YIL007C,YIL075C,YJL001W,YKL145W,YLR421C,YML092C,YMR314W,YOL038W,YOR117W,YOR157C,YOR259C,YOR261C,YOR362C,YPR103W,YPR108W"
"sce03060"	22	"Protein export"	"YBR283C,YDL092W,YDR086C,YDR292C,YER019C-A,YER087C-B,YER154W,YIR022W,YJL034W,YJR010C-A,YKL154W,YLR066W,YLR378C,YML055W,YML105C,YMR035W,YMR150C,YOR254C,YPL094C,YPL210C,YPL243W,YPR088C"
"sce03250"	15	"Viral life cycle - HIV-1"	"YBR289W,YCL008C,YGR063C,YGR218W,YGR252W,YJR017C,YLR025W,YLR293C,YML010W,YMR077C,YNR006W,YOR160W,YOR185C,YOR275C,YPR173C"
"sce03410"	25	"Base excision repair"	"YAL015C,YBR087W,YBR088C,YBR223C,YBR278W,YDL102W,YDL164C,YDR121W,YER142C,YJL065C,YJR006W,YJR043C,YJR068W,YKL113C,YKL114C,YML021C,YML060W,YNL262W,YNL290W,YOL043C,YOL094C,YOR217W,YOR258W,YOR330C,YPR175W"
"sce03420"	49	"Nucleotide excision repair"	"YAR007C,YBR087W,YBR088C,YBR154C,YBR278W,YDL102W,YDL108W,YDL140C,YDL164C,YDR030C,YDR079C-A,YDR121W,YDR311W,YDR404C,YDR460W,YEL037C,YER162C,YER171W,YGL070C,YGR258C,YHR143W-A,YIL021W,YIL143C,YJL065C,YJL092W,YJL140W,YJR006W,YJR035W,YJR043C,YJR068W,YLR005W,YML095C,YMR201C,YNL262W,YNL290W,YNL312W,YOL005C,YOL094C,YOL133W,YOR151C,YOR210W,YOR217W,YOR224C,YPL022W,YPL122C,YPR025C,YPR056W,YPR175W,YPR187W"
"sce03430"	20	"Mismatch repair"	"YAR007C,YBR087W,YBR088C,YCR092C,YDL102W,YDL164C,YDR097C,YJL092W,YJR006W,YJR043C,YJR068W,YMR167W,YNL082W,YNL290W,YNL312W,YOL090W,YOL094C,YOR033C,YOR217W,YPL164C"
"sce03440"	21	"Homologous recombination"	"YAR007C,YBL088C,YBR073W,YBR098W,YDL059C,YDL102W,YDR004W,YDR076W,YDR363W-A,YDR369C,YDR386W,YER095W,YGL163C,YJR006W,YJR043C,YLR234W,YML032C,YMR190C,YMR224C,YNL250W,YNL312W"
"sce03450"	10	"Non-homologous end-joining"	"YCR014C,YDR369C,YGL090W,YKL113C,YLR265C,YMR106C,YMR224C,YMR284W,YNL250W,YOR005C"
"sce04011"	114	"MAPK signaling pathway - yeast"	"YAL041W,YBL016W,YBL105C,YBR083W,YBR112C,YBR133C,YBR160W,YBR182C,YBR200W,YBR279W,YCL027W,YCL032W,YCR073C,YCR084C,YDL006W,YDL022W,YDL159W,YDL235C,YDR099W,YDR103W,YDR144C,YDR208W,YDR256C,YDR379W,YDR389W,YDR420W,YDR461W,YDR466W,YDR480W,YDR490C,YER075C,YER111C,YER118C,YER125W,YER155C,YER177W,YFL026W,YGL089C,YGR014W,YGR023W,YGR032W,YGR040W,YGR070W,YGR088W,YGR108W,YGR109C,YHL007C,YHR005C,YHR030C,YHR084W,YHR135C,YIL015W,YIL113W,YIL147C,YIL159W,YIR019C,YJL095W,YJL128C,YJL157C,YJL187C,YJR086W,YKL062W,YKL101W,YKL161C,YKL178C,YLL021W,YLR006C,YLR079W,YLR113W,YLR120C,YLR182W,YLR229C,YLR305C,YLR332W,YLR342W,YLR362W,YLR371W,YLR425W,YLR452C,YMR036C,YMR037C,YMR043W,YMR164C,YMR172W,YMR199W,YMR306W,YNL053W,YNL145W,YNL154C,YNL167C,YNL271C,YNL283C,YNL298W,YNR031C,YOL059W,YOL100W,YOL105C,YOL113W,YOL151W,YOR008C,YOR127W,YOR208W,YOR212W,YOR231W,YPL049C,YPL089C,YPL115C,YPL140C,YPL187W,YPL256C,YPR075C,YPR119W,YPR120C,YPR165W"
"sce04070"	23	"Phosphatidylinositol signaling system"	"YBL105C,YBR029C,YBR109C,YDR017C,YDR173C,YDR208W,YDR287W,YDR315C,YFR019W,YHR046C,YIL002C,YJL100W,YJR110W,YKL212W,YLR240W,YLR305C,YLR410W,YNL106C,YNL128W,YNL267W,YOR109W,YPL268W,YPR113W"
"sce04111"	130	"Cell cycle - yeast"	"YAL016W,YAL024C,YAL040C,YAR019C,YAR071W,YBL016W,YBL023C,YBL084C,YBL097W,YBR060C,YBR093C,YBR112C,YBR133C,YBR135W,YBR136W,YBR160W,YBR202W,YBR274W,YCL024W,YCL061C,YCR084C,YDL003W,YDL008W,YDL017W,YDL028C,YDL056W,YDL101C,YDL106C,YDL127W,YDL132W,YDL134C,YDL155W,YDL179W,YDL188C,YDR052C,YDR110W,YDR113C,YDR118W,YDR146C,YDR180W,YDR217C,YDR260C,YDR325W,YDR328C,YDR451C,YDR499W,YDR507C,YEL032W,YER111C,YER147C,YER173W,YFL008W,YFL009W,YFL029C,YFR028C,YFR031C,YFR034C,YFR036W,YGL003C,YGL086W,YGL116W,YGL190C,YGL201C,YGL240W,YGR040W,YGR092W,YGR098C,YGR108W,YGR109C,YGR113W,YGR188C,YGR233C,YHR118C,YHR152W,YHR166C,YHR215W,YIL026C,YIL046W,YIL106W,YJL013C,YJL030W,YJL074C,YJL076W,YJL157C,YJL187C,YJL194W,YJR046W,YJR053W,YJR090C,YKL022C,YKL101W,YLL004W,YLR079W,YLR086W,YLR102C,YLR103C,YLR127C,YLR176C,YLR182W,YLR210W,YLR272C,YLR274W,YLR288C,YML027W,YML064C,YML065W,YMR001C,YMR036C,YMR043W,YMR055C,YMR199W,YNL172W,YNL261W,YNL289W,YOL001W,YOL133W,YOR026W,YOR083W,YOR195W,YOR249C,YOR368W,YPL031C,YPL153C,YPL194W,YPL256C,YPR019W,YPR111W,YPR119W,YPR120C,YPR162C"
"sce04113"	133	"Meiosis - yeast"	"YAL016W,YAL040C,YAR019C,YBL023C,YBL084C,YBR045C,YBR060C,YBR136W,YBR160W,YBR202W,YBR274W,YCL067C,YCR039C,YCR096C,YCR097W,YDL008W,YDL017W,YDL035C,YDL134C,YDL138W,YDL155W,YDL188C,YDL194W,YDL245C,YDR052C,YDR113C,YDR118W,YDR207C,YDR217C,YDR260C,YDR285W,YDR310C,YDR342C,YDR343C,YDR345C,YDR436W,YDR439W,YDR477W,YDR523C,YEL032W,YEL069C,YER020W,YER106W,YER111C,YER133W,YER173W,YER179W,YFL008W,YFL011W,YFL033C,YFR028C,YFR036W,YGL086W,YGL116W,YGL201C,YGL240W,YGR044C,YGR059W,YGR098C,YGR108W,YGR109C,YGR188C,YGR225W,YHL022C,YHR092C,YHR094C,YHR096C,YHR118C,YHR124W,YHR152W,YHR166C,YHR184W,YIL026C,YIL072W,YIR025W,YJL005W,YJL030W,YJL074C,YJL106W,YJL164C,YJL187C,YJL194W,YJL214W,YJL219W,YJR046W,YJR066W,YJR094C,YJR158W,YKL022C,YKL062W,YKL166C,YKL203C,YLL004W,YLR079W,YLR081W,YLR102C,YLR103C,YLR127C,YLR182W,YLR210W,YLR263W,YLR274W,YLR288C,YML016C,YML065W,YMR001C,YMR011W,YMR016C,YMR037C,YMR139W,YNL098C,YNL172W,YNL261W,YNL318C,YNR072W,YOL156W,YOR014W,YOR073W,YOR101W,YOR195W,YOR249C,YOR313C,YOR351C,YOR368W,YPL153C,YPL179W,YPL194W,YPL203W,YPL256C,YPR007C,YPR019W,YPR120C,YPR162C"
"sce04120"	51	"Ubiquitin mediated proteolysis"	"YBL084C,YBR082C,YDL008W,YDL064W,YDL132W,YDL190C,YDR030C,YDR054C,YDR059C,YDR092W,YDR118W,YDR177W,YDR260C,YDR328C,YDR390C,YDR409W,YDR457W,YEL012W,YER100W,YER125W,YFL009W,YFR036W,YGL003C,YGL058W,YGL116W,YGL141W,YGL240W,YGR003W,YHR166C,YIL046W,YIL148W,YJR090C,YKL010C,YKL022C,YKL210W,YKR094C,YLL036C,YLL039C,YLR102C,YLR127C,YLR167W,YLR306W,YMR022W,YNL172W,YOL013C,YOL133W,YOR249C,YOR339C,YPL046C,YPR066W,YPR180W"
"sce04122"	7	"Sulfur relay system"	"YCL017C,YGL211W,YHR111W,YIL008W,YLR109W,YNL119W,YOR251C"
"sce04130"	20	"SNARE interactions in vesicular transport"	"YAL014C,YAL030W,YDR468C,YDR498C,YGL098W,YGL212W,YHL031C,YIL004C,YKL006C-A,YKL196C,YLR026C,YLR078C,YLR268W,YMR183C,YMR197C,YOL018C,YOR075W,YOR106W,YOR327C,YPL232W"
"sce04136"	23	"Autophagy - other"	"YBL078C,YBR097W,YBR217W,YDL134C,YDL149W,YDL188C,YFR021W,YGL180W,YHR171W,YHR186C,YJR066W,YKL203C,YLR240W,YMR028W,YNL006W,YNL223W,YNL242W,YNR007C,YPL100W,YPL120W,YPL149W,YPR049C,YPR185W"
"sce04138"	90	"Autophagy - yeast"	"YAL002W,YBL050W,YBL078C,YBR080C,YBR097W,YBR128C,YBR131W,YBR217W,YBR234C,YCL038C,YCR068W,YDL029W,YDL077C,YDL134C,YDL149W,YDL188C,YDR017C,YDR022C,YDR062W,YDR080W,YDR173C,YDR207C,YDR283C,YDR477W,YDR495C,YEL009C,YEL060C,YER129W,YFL033C,YFR021W,YGL095C,YGL124C,YGL179C,YGL180W,YGL212W,YHR030C,YHR071W,YHR171W,YHR186C,YHR205W,YIL062C,YJL164C,YJL178C,YJR007W,YJR065C,YJR066W,YJR110W,YKL013C,YKL048C,YKL062W,YKL146W,YKL166C,YKL196C,YKL203C,YLL042C,YLR148W,YLR211C,YLR240W,YLR370C,YLR396C,YLR423C,YLR431C,YML001W,YMR028W,YMR037C,YMR159C,YMR197C,YMR231W,YMR296C,YNL006W,YNL098C,YNL101W,YNL223W,YNL242W,YNR007C,YNR035C,YOR003W,YOR101W,YOR106W,YPL031C,YPL045W,YPL100W,YPL120W,YPL149W,YPL154C,YPL166W,YPL203W,YPR040W,YPR049C,YPR185W"
"sce04139"	40	"Mitophagy - yeast"	"YAL010C,YBL078C,YBL105C,YCR079W,YDR207C,YDR208W,YER151C,YGL019W,YGL180W,YGL219C,YHR030C,YIL035C,YIL065C,YIL098C,YIL146C,YIL147C,YJL095W,YJL128C,YJR066W,YKL203C,YLL001W,YLL006W,YLR006C,YLR113W,YLR147C,YLR356W,YNL283C,YNR051C,YOL004W,YOL009C,YOL027C,YOL105C,YOR008C,YOR039W,YOR061W,YOR231W,YOR330C,YPL140C,YPR024W,YPR049C"
"sce04141"	93	"Protein processing in endoplasmic reticulum"	"YAL005C,YAL058W,YBL058W,YBL075C,YBR072W,YBR082C,YBR101C,YBR169C,YBR170C,YBR201W,YBR229C,YBR273C,YBR283C,YCL043C,YCR067C,YDL072C,YDL126C,YDL132W,YDL190C,YDL195W,YDL229W,YDL232W,YDR057W,YDR059C,YDR086C,YDR171W,YDR221W,YDR283C,YDR328C,YDR411C,YDR518W,YEL002C,YEL037C,YER019C-A,YER087C-B,YER100W,YER103W,YFL044C,YFL048C,YGL022W,YGL027C,YGL226C-A,YGR048W,YHR079C,YHR098C,YIL005W,YIL016W,YIL030C,YIL109C,YJL002C,YJL034W,YJL073W,YJR007W,YJR131W,YKL073W,YKL213C,YLL024C,YLR057W,YLR080W,YLR090W,YLR207W,YLR208W,YLR378C,YML013W,YML019W,YML029W,YML130C,YMR022W,YMR149W,YMR161W,YMR186W,YMR214W,YMR264W,YMR276W,YNL049C,YNL064C,YNL077W,YNL209W,YNR026C,YOL013C,YOL031C,YOL133W,YOR085W,YOR103C,YOR254C,YOR288C,YOR336W,YPL094C,YPL096W,YPL106C,YPL218W,YPL240C,YPR181C"
"sce04144"	79	"Endocytosis"	"YAL005C,YBL037W,YBL047C,YBL075C,YBR234C,YCL008C,YDL029W,YDL137W,YDL161W,YDL192W,YDL226C,YDL229W,YDR069C,YDR153C,YDR170C,YDR208W,YDR323C,YDR388W,YDR486C,YDR524C,YEL022W,YER031C,YER103W,YER122C,YER125W,YER144C,YFL005W,YGL095C,YGL181W,YGL206C,YGL210W,YGR206W,YHL002W,YHR012W,YIL034C,YIL044C,YIL062C,YJL036W,YJL049W,YJL053W,YJL154C,YJR005W,YJR031C,YJR058C,YJR065C,YJR102C,YJR125C,YKL002W,YKL007W,YKL013C,YKL041W,YKL079W,YKR014C,YKR031C,YKR035W-A,YLL024C,YLR025W,YLR181C,YLR206W,YLR229C,YLR370C,YLR417W,YML001W,YMR077C,YNL209W,YNL265C,YNR006W,YNR035C,YOL062C,YOR069W,YOR089C,YOR094W,YOR181W,YOR275C,YOR357C,YPL002C,YPL065W,YPR165W,YPR173C"
"sce04145"	35	"Phagosome"	"YAL058W,YBR127C,YBR283C,YCL005W-A,YDL185W,YDR086C,YDR488C,YEL027W,YEL051W,YER019C-A,YER087C-B,YFL037W,YFR019W,YGR020C,YHR026W,YHR039C-A,YKL080W,YKR014C,YKR054C,YLR240W,YLR268W,YLR378C,YLR447C,YML001W,YML085C,YML124C,YMR054W,YNR006W,YOR075W,YOR089C,YOR270C,YOR332W,YPL234C,YPR036W,YPR079W"
"sce04146"	40	"Peroxisome"	"YAR035W,YDL065C,YDL066W,YDR142C,YDR244W,YDR256C,YDR265W,YDR329C,YDR347W,YEL020C,YER015W,YER024W,YFL030W,YGL067W,YGL153W,YGL205W,YGR088W,YHR008C,YIL009W,YIL160C,YJL210W,YJR101W,YJR104C,YKL188C,YKL197C,YLR174W,YLR191W,YLR251W,YLR284C,YML042W,YMR026C,YMR208W,YMR246W,YNL009W,YNL202W,YNL329C,YOL147C,YOR180C,YOR317W,YPL147W"
"sce04213"	38	"Longevity regulating pathway - multiple species"	"YAL005C,YBL075C,YDL035C,YDL042C,YDL229W,YDR096W,YDR191W,YDR256C,YDR258C,YDR347W,YER103W,YFL033C,YGL037C,YGL115W,YGR088W,YHR008C,YHR186C,YHR205W,YJL005W,YJL164C,YJR066W,YJR101W,YJR104C,YKL062W,YKL166C,YKL203C,YLL024C,YLL026W,YMR037C,YNL098C,YNL209W,YNL330C,YOL068C,YOR025W,YOR101W,YPL015C,YPL149W,YPL203W"
"sce04392"	8	"Hippo signaling pathway - multiple species"	"YAR019C,YBR083W,YGR092W,YHL007C,YHR135C,YIL106W,YNL154C,YOR373W"
"sce04814"	24	"Motor proteins"	"YAL029C,YBL063W,YDR424C,YDR488C,YEL061C,YFL037W,YFL039C,YGL216W,YHR023W,YHR129C,YIL034C,YIL138C,YKL007W,YKL079W,YKL129C,YKR054C,YLR212C,YML085C,YML124C,YMR109W,YNL079C,YOR326W,YPL174C,YPR141C"
